type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
Movie;A Cinderella Story;Mark Rosman;"""Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg""";"""United States, Canada""";"""September 1, 2021""";2004;PG;95 min;"""Children & Family Movies, Comedies""";Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
Movie;A Classic Horror Story;"""Roberto De Feo, Paolo Strippoli""";"""Matilda Lutz, Francesco Russo, Peppino Mazzotta, Will Merrick, Yuliia Sobol, Alida Baldari Calabria, Cristina Donadio, Francesca Cavallin""";Italy;"""July 14, 2021""";2021;TV-MA;95 min;"""Horror Movies, International Movies""";"""In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive."""
TV Show;Lucifer;null;"""Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis""";United States;"""September 10, 2021""";2021;TV-14;6 Seasons;"""Crime TV Shows, TV Comedies, TV Dramas""";"""Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."""
Movie;A Monster Calls;J.A. Bayona;"""Lewis MacDougall, Sigourney Weaver, Felicity Jones, Liam Neeson, Toby Kebbell, Ben Moor, James Melville, Oliver Steer, Dominic Boyle, Geraldine Chaplin, Jennifer Lim""";"""United Kingdom, Spain, United States""";"""January 16, 2021""";2016;PG-13;108 min;"""Dramas, Sci-Fi & Fantasy""";"""Overwhelmed by his mother’s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster."""
TV Show;Kid Cosmic;null;"""Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver""";United States;"""September 7, 2021""";2021;TV-Y7;2 Seasons;"""Kids' TV, TV Comedies, TV Sci-Fi & Fantasy""";A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.
TV Show;Octonauts: Above & Beyond;null;"""Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt""";United Kingdom;"""September 7, 2021""";2021;TV-Y;1 Season;"""British TV Shows, Kids' TV""";"""The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."""
Movie;A Perfect Ending;Nicole Conn;"""Barbara Niven, Jessica Clark, John Heard, Morgan Fairchild, Kerry Knuppe, Imelda Corcoran, Mary Jane Wells, Rebecca Staab, Michael Adam Hamilton, Bryan Jackson, Bryan Mordechai Jackson""";United States;"""June 2, 2021""";2012;TV-MA;110 min;"""Dramas, Independent Movies, LGBTQ Movies""";"""After confessing an unusual secret, a repressed wife – prompted by her friends – decides to explore her sexuality with a high-priced call girl."""
TV Show;Tayo the Little Bus;null;"""Robyn Slade, Kami Desilets""";South Korea;"""September 6, 2021""";2016;TV-Y;2 Seasons;"""Kids' TV, Korean TV Shows""";"""As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."""
TV Show;La casa de papel;null;"""Úrsula Corberó, Itziar Ituño, Álvaro Morte, Paco Tous, Enrique Arce, Pedro Alonso, María Pedraza, Alba Flores, Miguel Herrán, Jaime Lorente, Esther Acebo, Darko Peric, Kiti Mánver""";Spain;"""September 3, 2021""";2021;TV-MA;5 Seasons;"""Crime TV Shows, International TV Shows, Spanish-Language TV Shows""";Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
Movie;A Private War;Matthew Heineman;"""Rosamund Pike, Jamie Dornan, Tom Hollander, Stanley Tucci, Nikki Amuka-Bird, Faye Marsay, Greg Wise, Corey Johnson, Raad Rawi, Jesuthasan Antonythasan""";"""United Kingdom, United States""";"""June 5, 2021""";2018;R;110 min;"""Dramas, Independent Movies""";"""In this biopic, war correspondent Marie Colvin risks it all to bring back the truth from the frontlines, despite the toll it takes on her own life."""
Movie;A Very Country Christmas;Justin G. Dyck;"""Bea Santos, Greyston Holt, Greg Vaughan, Deana Carter, Allison Hossack""";"""United States, Canada""";"""November 15, 2020""";2017;TV-G;84 min;"""Music & Musicals, Romantic Movies""";"""When an unfulfilled country music star hides out in his hometown, he meets a budding interior designer who finds her way into his heart."""
Movie;A Very Special Love;Cathy Garcia-Molina;"""John Lloyd Cruz, Sarah Geronimo, Dante Rivero, Rowell Santiago, Johnny Revilla, Bing Pimental, Daphne Oseña-Paez, Al Tantay, Irma Adlawan, Arno Morales, Miles Ocampo""";Philippines;"""November 12, 2020""";2008;TV-G;107 min;"""International Movies, Romantic Movies""";"""After landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned."""
TV Show;Pororo - The Little Penguin;null;null;South Korea;"""September 2, 2021""";2013;TV-Y7;3 Seasons;"""Kids' TV, Korean TV Shows""";"""On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur."""
TV Show;Q-Force;null;"""Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers""";United States;"""September 2, 2021""";2021;TV-MA;1 Season;"""Crime TV Shows, TV Action & Adventure, TV Comedies""";"""A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!"""
Movie;Accomplice;Jeremy Grant;"""Kurt Sorge, Tom Van Steenbergen, Cameron Zink, Graham Agassiz, Tyler McCaul, Cameron McCaul, Ethan Nell, Hannah Bergemann, Carson Storch, Brandon Semenuk, Veronique Sandler, Nico Vink, Garett Buehler, Jaxson Riddle, Andreu Lacondeguy, Paul Genovese, Paul Basagoitia""";United States;"""January 27, 2021""";2021;TV-14;52 min;"""Documentaries, International Movies, Sports Movies""";Traverse the globe with the world's top riders as they pedal through rugged terrain and majestic locations in this visual homage to the bicycle.
Movie;Al acecho;Francisco D'Eufemia;"""Rodrigo de la Serna, Belen Blanco, Walter Jakob, Facundo Aquinos, Patricia Calisaya""";Argentina;"""January 12, 2021""";2019;TV-MA;81 min;"""International Movies, Thrillers""";"""Looking for a fresh start, a park ranger gets a new assignment. When he discovers a network of poachers, survival depends on his lethal instincts."""
TV Show;Kuroko's Basketball;null;"""Kensho Ono, Yuki Ono, Chiwa Saito, Yoshimasa Hosoya, Hirofumi Nojima, Kenji Hamada, Takuya Eguchi, Soichiro Hoshi, Tatsuhisa Suzuki, Go Inoue, Daisuke Ono, Ryohei Kimura, Junichi Suwabe, Kazuya Nakai, Fumiko Orikasa, Kenichi Suzumura, Kisho Taniyama, Hiroshi Kamiya""";Japan;"""September 1, 2021""";2015;TV-MA;3 Seasons;"""Anime Series, International TV Shows, Teen TV Shows""";"""Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory."""
Movie;America: The Motion Picture;Matt Thompson;"""Channing Tatum, Jason Mantzoukas, Olivia Munn, Andy Samberg, Bobby Moynihan, Judy Greer, Will Forte, Raoul Trujillo, Killer Mike, Simon Pegg""";United States;"""June 30, 2021""";2021;TV-MA;98 min;"""Action & Adventure, Comedies""";A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.
Movie;American Woman;Semi Chellas;"""Hong Chau, Sarah Gadon, John Gallagher Jr., Lola Kirke, Ellen Burstyn, David Cubitt, Jordan Pettle, Richard Walters""";"""United States, Canada""";"""July 13, 2021""";2019;TV-MA;87 min;"""Dramas, Independent Movies""";"""In rural Pennsylvania, a working-class single mom must pick up the pieces and step up to raise her grandson after her daughter suddenly disappears."""
Movie;Andhakaaram;V Vignarajan;"""Vinoth Kishan, Arjun Das, Pooja Ramachandran, Kumar Natarajan, Misha Ghoshal, Arul Vincent, Chenthu Mohan, Pradeep Kalipurayath""";India;"""November 24, 2020""";2020;TV-14;171 min;"""Horror Movies, International Movies, Thrillers""";"""As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences."""
Movie;Arlo the Alligator Boy;Ryan Crego;"""Michael J. Woodard, Mary Lambert, Brett Gelman, Jonathan Van Ness, Tony Hale, Haley Tju, Annie Potts, Vincent Rodriguez III, Flea, Jennifer Coolidge""";United States;"""April 16, 2021""";2021;TV-Y7;93 min;"""Children & Family Movies, Comedies, Music & Musicals""";"""To find the father he never knew, optimistic Arlo leaves his swampy Southern home for New York City, making friends along the way. A musical adventure."""
Movie;Army of the Dead;Zack Snyder;"""Dave Bautista, Ella Purnell, Omari Hardwick, Garret Dillahunt, Ana de la Reguera, Theo Rossi, Matthias Schweighöfer, Nora Arnezeder, Hiroyuki Sanada, Tig Notaro, Raúl Castillo, Huma Qureshi, Samantha Win, Richard Cetrone, Michael Cassidy""";United States;"""May 21, 2021""";2021;R;148 min;"""Action & Adventure, Horror Movies""";"""After a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble by venturing into the quarantine zone for the greatest heist ever."""
TV Show;EDENS ZERO;null;"""Takuma Terashima, Mikako Komatsu, Rie Kugimiya, Hiromichi Tezuka, Shiori Izawa, Shiki Aoki, Sayaka Ohara, Hochu Otsuka, Kikuko Inoue""";Japan;"""August 26, 2021""";2021;TV-14;1 Season;"""Anime Series, International TV Shows""";"""Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother."""
TV Show;Family Reunion;null;"""Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Richard Roundtree""";United States;"""August 26, 2021""";2021;TV-PG;4 Seasons;"""Kids' TV, TV Comedies""";"""When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways."""
Movie;Battle: Los Angeles;Jonathan Liebesman;"""Aaron Eckhart, Michelle Rodriguez, Ramon Rodriguez, Bridget Moynahan, Ne-Yo, Michael Peña, Lucas Till, Cory Hardrict, Adetokumboh M'Cormack, Jim Parrack""";United States;"""April 27, 2021""";2011;PG-13;116 min;"""Action & Adventure, Sci-Fi & Fantasy""";"""Led by their skillful staff sergeant, a platoon of gutsy Marines fights to protect all humankind from astonishingly powerful aliens."""
Movie;Battlefield Earth;Roger Christian;"""John Travolta, Barry Pepper, Forest Whitaker, Kim Coates, Sabine Karsenti, Richard Tyson, Kelly Preston, Michael MacRae, Shaun Austin-Olsen, Tim Post, Michael Byrne""";United States;"""June 2, 2021""";2000;PG-13;118 min;"""Action & Adventure, Cult Movies, Sci-Fi & Fantasy""";"""In the year 3000, an alien race known as the Psychlos devastate planet Earth and force the surviving human population into slavery."""
Movie;Beethoven;Brian Levant;"""Charles Grodin, Bonnie Hunt, Dean Jones, Oliver Platt, Stanley Tucci, Nicholle Tom, Christopher Castile, Sarah Rose Karr, David Duchovny, Patricia Heaton, O-Lan Jones, Nancy Fish""";United States;"""August 1, 2021""";1992;PG;87 min;"""Children & Family Movies, Comedies""";"""A father reluctantly agrees to let his children keep a St. Bernard puppy, but the playful pooch soon turns into a full-grown engine of destruction."""
Movie;Beowulf;Robert Zemeckis;"""Ray Winstone, Anthony Hopkins, John Malkovich, Angelina Jolie, Robin Wright, Brendan Gleeson, Crispin Glover, Alison Lohman, Sharisse Baker-Bernard""";"""United States, United Kingdom""";"""August 1, 2021""";2007;PG-13;114 min;"""Action & Adventure, Sci-Fi & Fantasy""";This deftly animated take on a legendary Old English epic tells the timeless tale of a Scandinavian hero who's known for slaying dragons.
TV Show;Manifest;null;"""Melissa Roxburgh, Josh Dallas, Athena Karkanis, J.R. Ramirez, Luna Blaise, Jack Messina, Parveen Kaur""";United States;"""August 21, 2021""";2021;TV-14;3 Seasons;"""TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy""";"""When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange, new realities."""
Movie;Biggie: I Got a Story to Tell;Emmett Malloy;"""The Notorious B.I.G., Sean \""P. Diddy\"" Combs""";United States;"""March 1, 2021""";2021;R;98 min;"""Documentaries, Music & Musicals""";"""Featuring rare footage and in-depth interviews, this documentary celebrates the life of The Notorious B.I.G. on his journey from hustler to rap king."""
Movie;Black Beach;Esteban Crespo;"""Raúl Arévalo, Candela Peña, Paulina García, Claude Musungayi, Babou Cham, Lidia Nené, Melina Matthews, Emilio Buale, Mulie Jarju, Jimmy Castro, Fenda Drame, Dairon Tallon, Teresita Evuy, Olivier Bony""";"""Spain, Belgium, United States""";"""February 3, 2021""";2020;TV-MA;116 min;"""Action & Adventure, International Movies""";A lawyer with a promising future is forced to deep dive into his past when he agrees to negotiate with an old friend turned kidnapper.
Movie;Blade Runner: The Final Cut;Ridley Scott;"""Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull""";United States;"""September 1, 2021""";1982;R;117 min;"""Action & Adventure, Classic Movies, Cult Movies""";"""In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped \""replicants.\"""""
TV Show;Grace and Frankie;null;"""Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn""";United States;"""August 13, 2021""";2021;TV-MA;7 Seasons;"""TV Comedies, TV Dramas""";"""They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series."""
TV Show;Valeria;Inma Torrente;"""Diana Gómez, Silma López, Paula Malia, Teresa Riott, Maxi Iglesias, Ibrahim Al Shami""";Spain;"""August 13, 2021""";2021;TV-MA;2 Seasons;"""International TV Shows, Romantic TV Shows, Spanish-Language TV Shows""";"""A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent."""
Movie;Blue Miracle;Julio Quintana;"""Jimmy Gonzales, Dennis Quaid, Anthony Gonzalez, Bruce McGill, Raymond Cruz, Nathan Arenas, Miguel Angel Garcia, Isaac Arellanes, Steve Gutierrez, Dana Wheeler-Nicholson, Fernanda Urrejola, Silverio Palacios""";United States;"""May 27, 2021""";2021;TV-PG;97 min;"""Children & Family Movies, Dramas, Faith & Spirituality""";"""To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition."""
TV Show;SHAMAN KING;null;"""Yoko Hikasa, Katsuyuki Konishi, Megumi Hayashibara, Inuko Inuyama, Romi Park, Kosuke Takaguchi, Masahiko Tanaka, Wataru Takagi, Yuji Ueda, Megumi Nakajima, Takehito Koyasu, Yoko Soumi, Motoko Kumai, Yui Horie, Yuichi Nakamura, Nana Mizuki, Takumu Miyazono, Noriaki Kanze, Michiko Neya, Toru Sakurai, Rina Hidaka, Masakazu Morita, Minami Takayama""";Japan;"""August 9, 2021""";2021;TV-14;1 Season;"""Anime Series, International TV Shows""";"""Medium Yoh Asakura enters a battle tournament held every 500 years, competing with other shamans in a bid to become the all-powerful Shaman King."""
Movie;Boogie Nights;Paul Thomas Anderson;"""Mark Wahlberg, Burt Reynolds, Julianne Moore, Heather Graham, William H. Macy, Don Cheadle, Philip Seymour Hoffman, Luis Guzmán, John C. Reilly, Philip Baker Hall""";United States;"""July 1, 2021""";1997;R;155 min;"""Comedies, Dramas, Independent Movies""";A well-endowed busboy is taken in by a tight-knit group of 1970s porn actors and transforms himself into skin flick celebrity Dirk Diggler.
Movie;Born to Play;Viridiana Lieberman;null;United States;"""July 12, 2021""";2020;TV-MA;93 min;"""Documentaries, Sports Movies""";"""This documentary follows the Boston Renegades — an all-woman, tackle football team — as they risk their time, families and day jobs for the game."""
Movie;Brave Blue World: Racing to Solve Our Water Crisis;Tim Neeves;"""Liam Neeson, Matt Damon, Jaden Smith""";"""Canada, United Kingdom""";"""October 21, 2020""";2020;TV-PG;51 min;"""Documentaries, International Movies""";"""From reuse to energy generation, new innovations across five continents are explored in this documentary about building a future for sustainable water."""
TV Show;Cocaine Cowboys: The Kings of Miami;Billy Corben;null;United States;"""August 4, 2021""";2021;TV-MA;1 Season;"""Crime TV Shows, Docuseries""";Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades.
Movie;Brick Mansions;Camille Delamarre;"""Paul Walker, David Belle, RZA, Gouchy Boy, Catalina Denis, Ayisha Issa, Carlo Rota, Andreas Apergis, Richard Zeman, Robert Maillet""";"""France, Canada, United States, Spain""";"""July 7, 2021""";2014;PG-13;90 min;"""Action & Adventure, International Movies""";An undercover police detective partners with an ex-convict to take down a drug kingpin amid grime and crime in a walled-off Detroit housing project.
Movie;Bright Star;Jane Campion;"""Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin""";"""United Kingdom, Australia, France""";"""September 2, 2021""";2009;PG;119 min;"""Dramas, Romantic Movies""";This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
Movie;Cadaver;Jarand Herdal;"""Gitte Witt, Thomas Gullestad, Thorbjørn Harr, Tuva Olivia Remman, Trine Wiggen, Maria Grazia Di Meo, Kingsford Siayor, Jonatan Rodriguez""";Norway;"""October 22, 2020""";2020;TV-MA;87 min;"""Horror Movies, International Movies""";"""When a peculiar hotel dinner show draws crowds during a postapocalyptic famine, one family discovers they'll pay much more than the price of admission."""
TV Show;Hunter X Hunter (2011);null;"""Megumi Han, Mariya Ise, Keiji Fujiwara, Miyuki Sawashiro, Daisuke Namikawa""";Japan;"""August 1, 2021""";2014;TV-14;6 Seasons;"""Anime Series, International TV Shows""";"""To fulfill his dreams of becoming a legendary Hunter like his dad, a young boy must pass a rigorous examination and find his missing father."""
Movie;Captain Fantastic;Matt Ross;"""Viggo Mortensen, Frank Langella, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell, Ann Dowd, Erin Moriarty, Missi Pyle, Kathryn Hahn, Steve Zahn""";United States;"""February 26, 2021""";2016;R;119 min;"""Comedies, Dramas, Independent Movies""";"""A father raising his children off the grid begins to question his anti-establishment, utopian views when a tragic loss pulls them back into society."""
Movie;Case 39;Christian Alvart;"""Renée Zellweger, Jodelle Ferland, Ian McShane, Bradley Cooper, Callum Keith Rennie, Adrian Lester, Kerry O'Malley, Cynthia Stevenson, Alexander Conti, Philip Cabrita""";"""United States, Canada""";"""January 1, 2021""";2009;R;111 min;"""Horror Movies, Thrillers""";A naïve social worker brings a 10-year-old child into her home to rescue the girl from abusive parents – only to learn that she isn't what she seems.
Movie;Chappie;Neill Blomkamp;"""Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede""";"""South Africa, United States""";"""September 1, 2021""";2015;R;121 min;"""Action & Adventure, Sci-Fi & Fantasy""";"""In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."""
Movie;Charlie's Angels;McG;"""Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Matt LeBlanc, LL Cool J, Tom Green, Luke Wilson""";"""United States, Germany""";"""July 1, 2021""";2000;PG-13;98 min;"""Action & Adventure, Comedies""";A tight-knit trio of specially trained agents wield weapons — and charm — as they track down stolen software in this reboot of the classic TV series.
Movie;Chef;Jon Favreau;"""Jon Favreau, Sofía Vergara, John Leguizamo, Scarlett Johansson, Dustin Hoffman, Oliver Platt, Bobby Cannavale, Amy Sedaris, Robert Downey Jr., Emjay Anthony, Russell Peters""";United States;"""December 1, 2020""";2014;R;115 min;"""Comedies, Independent Movies""";"""After igniting a Twitter war with a well-known culinary critic, a Los Angeles chef packs his knives, heads home to Miami and opens a food truck."""
TV Show;Charmed;null;"""Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie""";United States;"""July 31, 2021""";2021;TV-14;3 Seasons;"""TV Dramas, TV Sci-Fi & Fantasy""";"""After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy."""
TV Show;Glow Up;null;null;United Kingdom;"""July 30, 2021""";2021;TV-14;3 Seasons;"""British TV Shows, International TV Shows, Reality TV""";"""In this competition show, aspiring makeup artists navigate colorful challenges to win a career-making opportunity in the beauty industry."""
TV Show;Outer Banks;null;"""Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss, Rudy Pankow, Charles Esten, Adina Porter, Austin North, Drew Starkey""";United States;"""July 30, 2021""";2021;TV-MA;2 Seasons;"""TV Action & Adventure, TV Dramas, Teen TV Shows""";"""On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance."""
TV Show;The Flash;Glen Winter;"""Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht""";United States;"""July 28, 2021""";2021;TV-14;7 Seasons;"""Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy""";A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.
TV Show;All American;null;"""Daniel Ezra, Taye Diggs, Samantha Logan, Bre-Z, Greta Onieogou, Monet Mazur, Michael Evans Behling, Cody Christian, Karimah Westbrook, Jalyn Hall, Jordan Belfi, Briana Lane""";United States;"""July 27, 2021""";2021;TV-14;3 Seasons;"""TV Dramas, Teen TV Shows""";Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.
TV Show;The Walking Dead;null;"""Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal""";United States;"""July 26, 2021""";2019;TV-MA;10 Seasons;"""Classic & Cult TV, TV Action & Adventure, TV Dramas""";"""In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival."""
Movie;Cloudy with a Chance of Meatballs;"""Phil Lord, Christopher Miller""";"""Bill Hader, Anna Faris, James Caan, Andy Samberg, Bruce Campbell, Mr. T, Bobb'e J. Thompson, Benjamin Bratt, Neil Patrick Harris, Al Roker""";"""United States, Canada""";"""August 1, 2021""";2009;PG;90 min;"""Children & Family Movies, Comedies, Sci-Fi & Fantasy""";"""When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow."""
Movie;Cold Mountain;Anthony Minghella;"""Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone""";"""United States, Italy, Romania, United Kingdom""";"""September 1, 2021""";2003;R;154 min;"""Dramas, Romantic Movies""";"""This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."""
Movie;Count Me In;Mark Lo;null;United Kingdom;"""August 24, 2021""";2021;TV-MA;82 min;"""Documentaries, Music & Musicals""";This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.
